Region,Customer Segment,Age Range,Season,Distance (Miles),Staffing Level (Proxy),Track Congestion (Proxy),Total Fare Amount,Communication About Status,Cleanliness,Comfort,Wi-Fi,Food & Beverage,Departure Delay (Minutes),Arrival Delay (Minutes),On-time Performance,Overall Satisfaction
Midwest,Leisure,65+,Winter,287.0,0.955,0.397,113.85,5.0,3.23,4.0,2.08,3.07,23.8,27.1,3.74,5.0
Northeast,Leisure,18-24,Winter,172.4,0.877,0.052,80.08,5.0,4.41,3.36,3.78,1.85,36.6,44.9,3.13,5.0
Midwest,Leisure,55-64,Winter,147.9,0.537,0.944,87.19,2.74,3.56,2.58,3.24,2.87,58.5,54.4,2.81,5.0
Southeast,Leisure,45-54,Fall,419.0,0.762,0.141,134.61,5.0,3.88,4.06,3.18,3.67,24.0,31.3,3.84,5.0
Northeast,Commuter,25-34,Winter,134.9,1.0,0.0,80.35,4.82,4.43,4.19,1.59,2.46,0.0,5.0,5.0,5.0
Midwest,Commuter,45-54,Fall,73.3,0.514,0.64,56.37,3.57,4.37,4.42,,1.36,34.5,34.9,3.46,5.0
Midwest,Commuter,25-34,Summer,432.5,0.368,0.0,161.46,4.01,3.04,4.81,3.43,2.96,19.8,31.9,3.72,5.0
Southeast,Leisure,18-24,Spring,437.5,0.949,0.469,123.56,,2.74,2.97,3.72,3.87,30.4,39.4,3.28,5.0
Midwest,Leisure,65+,Fall,134.5,0.64,0.125,65.16,4.31,3.85,3.26,,,14.3,18.2,4.07,5.0
Midwest,Business,45-54,Winter,625.8,0.464,0.419,190.33,3.9,3.32,4.11,3.24,3.46,33.9,48.7,2.79,5.0
Southwest,Leisure,25-34,Spring,195.1,0.555,0.163,92.78,4.48,3.92,3.67,2.35,3.97,9.3,13.0,4.38,5.0
Southwest,Business,35-44,Spring,135.5,0.205,1.0,80.17,3.89,3.65,4.57,2.26,4.47,51.5,47.6,3.0,5.0
Southwest,Leisure,65+,Winter,281.5,0.443,0.31,78.03,3.77,3.24,3.5,1.56,1.0,32.6,45.3,3.08,5.0
Southeast,Leisure,35-44,Fall,83.5,0.746,0.463,78.99,4.69,5.0,5.0,3.45,1.96,17.1,24.3,3.89,5.0
West,Commuter,65+,Summer,109.9,0.545,0.158,87.69,3.63,3.88,3.7,4.83,3.26,17.2,22.3,3.96,5.0
Midwest,Leisure,55-64,Winter,246.1,0.791,0.713,110.21,2.95,3.65,4.88,3.27,3.41,48.5,52.0,2.56,5.0
Midwest,Commuter,35-44,Winter,220.4,0.556,0.966,97.0,,3.94,1.98,2.62,1.72,57.4,63.5,2.09,5.0
Southwest,Leisure,45-54,Spring,349.0,0.559,0.0,132.45,3.75,4.2,4.01,3.34,2.41,7.1,7.2,4.66,5.0
Southeast,Leisure,45-54,Fall,92.6,0.59,0.828,65.93,2.98,3.52,3.69,3.14,4.67,69.9,65.5,2.1,5.0
Midwest,Leisure,55-64,Winter,565.8,0.535,0.462,157.08,3.41,5.0,2.19,1.88,2.79,55.4,76.4,1.58,4.12
Southwest,Leisure,35-44,Summer,158.5,0.845,0.579,78.8,3.91,3.11,3.74,3.58,3.36,36.5,34.7,3.32,5.0
West,Business,18-24,Winter,215.6,1.0,0.0,95.9,4.34,3.23,2.93,3.41,4.81,0.0,3.1,4.79,5.0
West,Leisure,25-34,Spring,153.9,0.44,0.608,81.79,4.08,2.86,3.27,3.08,,42.0,45.7,2.93,5.0
Midwest,Business,45-54,Summer,83.0,0.596,0.198,47.29,,3.9,3.89,4.91,3.83,17.9,20.9,4.14,5.0
Midwest,Commuter,55-64,Winter,201.5,0.823,0.964,90.5,4.45,4.3,3.66,3.25,3.68,55.1,59.1,2.26,5.0
West,Leisure,55-64,Spring,306.4,1.0,0.0,90.2,5.0,3.9,4.05,4.96,2.9,0.0,4.6,4.57,5.0
Southeast,Leisure,45-54,Spring,183.2,0.686,0.41,92.57,3.84,4.22,3.82,2.67,2.78,16.8,20.1,3.93,5.0
West,Leisure,18-24,Winter,118.4,0.539,0.333,60.82,3.7,4.14,5.0,2.07,4.17,24.5,31.4,3.63,5.0
Midwest,Business,18-24,Winter,355.7,0.978,0.365,125.98,4.91,3.87,3.97,,3.19,22.8,32.4,3.61,5.0
Northeast,Business,55-64,Winter,363.5,0.523,0.444,140.49,3.58,4.12,3.74,4.2,2.2,45.8,55.8,2.4,5.0
Northeast,Leisure,45-54,Summer,177.3,0.66,0.445,96.24,3.59,3.81,3.99,2.71,4.11,25.3,21.1,3.9,5.0
West,Business,55-64,Winter,255.2,0.299,0.777,107.32,3.74,3.5,3.57,2.0,,61.8,69.0,1.68,4.8
Northeast,Business,25-34,Summer,354.2,0.744,0.419,126.28,4.14,3.67,2.61,3.63,4.57,12.2,19.8,3.9,5.0
Southeast,Leisure,35-44,Winter,304.4,0.55,0.665,98.04,3.81,4.01,4.15,2.95,2.94,24.8,28.4,3.67,5.0
Southeast,Leisure,65+,Winter,251.0,0.787,0.0,87.99,4.25,4.72,4.64,3.87,,22.8,35.2,3.18,5.0
Northeast,Commuter,25-34,Winter,297.1,0.559,0.78,90.57,4.67,3.16,4.76,2.71,3.19,37.1,37.1,3.35,5.0
Southeast,Leisure,18-24,Spring,265.6,0.945,0.77,90.83,4.93,3.78,4.27,2.66,4.39,32.5,37.6,3.38,5.0
Southwest,Leisure,45-54,Summer,208.6,0.491,0.166,90.67,3.65,3.94,3.46,4.61,3.25,21.4,30.3,3.43,5.0
Northeast,Leisure,45-54,Spring,91.2,0.793,0.413,74.27,3.36,5.0,3.92,2.71,3.14,14.1,16.6,4.1,5.0
West,Business,65+,Winter,106.9,0.306,0.949,78.48,3.51,4.01,4.84,2.46,2.2,58.4,52.7,2.61,5.0
West,Leisure,65+,Winter,272.4,0.341,0.941,77.02,3.11,3.28,3.45,3.51,2.43,70.1,81.3,1.22,5.0
Southeast,Leisure,55-64,Spring,152.9,0.857,0.656,70.1,,3.47,2.92,1.15,3.75,18.9,15.1,4.35,5.0
Northeast,Leisure,18-24,Spring,266.7,0.826,0.444,100.08,3.8,4.6,5.0,3.97,3.37,27.9,28.5,3.87,5.0
Southwest,Business,35-44,Summer,89.5,0.2,0.17,46.72,3.58,3.51,2.85,4.59,4.56,26.3,32.0,3.53,5.0
Northeast,Leisure,65+,Spring,125.7,0.638,0.784,80.11,4.6,3.18,2.59,3.97,2.39,50.1,48.7,2.55,5.0
Southeast,Commuter,35-44,Summer,183.2,0.367,0.673,94.78,2.9,4.39,3.83,2.35,2.03,56.6,59.2,2.36,5.0
West,Leisure,65+,Spring,37.0,0.629,0.991,45.97,,4.1,3.97,2.67,3.4,62.2,59.1,2.29,5.0
West,Leisure,45-54,Summer,115.0,0.84,0.214,66.12,4.22,3.3,4.07,3.47,3.09,19.1,21.6,4.11,5.0
West,Commuter,25-34,Winter,136.6,0.2,0.196,78.93,3.19,2.9,4.17,3.45,1.96,34.1,41.6,3.48,5.0
Southeast,Commuter,35-44,Fall,230.0,0.267,0.693,101.19,3.53,2.43,3.47,4.43,,50.9,49.2,2.64,5.0
Southwest,Leisure,45-54,Fall,176.4,0.665,0.732,75.5,3.7,3.56,3.6,4.55,3.77,33.0,37.5,3.2,5.0
Southwest,Commuter,18-24,Spring,237.4,0.529,0.919,82.41,4.01,4.05,3.26,3.05,1.92,56.6,54.5,2.59,5.0
Southeast,Business,35-44,Winter,213.1,0.827,0.193,85.98,3.29,4.59,3.84,2.99,2.14,25.7,38.4,3.4,5.0
Southwest,Leisure,55-64,Winter,171.9,0.465,0.515,95.9,3.8,4.09,4.02,2.61,2.44,48.8,48.5,3.12,5.0
Northeast,Commuter,25-34,Fall,137.2,0.607,0.998,90.04,2.84,3.12,4.32,3.76,2.48,38.1,43.1,3.0,5.0
Northeast,Business,35-44,Winter,217.5,0.661,0.0,88.08,4.99,3.76,3.07,4.23,3.85,0.0,5.5,4.62,5.0
Midwest,Leisure,45-54,Winter,410.5,0.267,0.715,114.18,3.4,4.59,2.71,3.19,2.55,48.8,57.5,2.29,5.0
Northeast,Business,55-64,Winter,136.7,0.617,0.103,70.62,4.46,3.6,4.3,3.34,4.59,8.5,9.4,4.51,5.0
Northeast,Leisure,35-44,Spring,552.8,0.657,0.315,150.92,4.4,4.39,3.33,5.0,2.19,21.8,27.4,3.73,5.0
West,Leisure,65+,Fall,220.0,0.49,0.454,111.82,2.39,4.23,2.96,3.79,3.43,50.5,60.8,2.29,5.0
West,Commuter,65+,Winter,338.9,0.431,0.402,104.87,4.28,4.27,2.33,,3.05,56.5,59.5,2.33,5.0
Midwest,Business,35-44,Summer,256.9,0.534,0.254,114.66,4.13,4.13,4.65,3.26,3.11,18.8,23.5,3.75,5.0
West,Business,25-34,Summer,279.2,0.867,0.0,108.95,5.0,4.49,3.95,3.61,1.0,0.0,4.2,4.58,5.0
West,Business,55-64,Fall,114.4,0.392,0.449,73.89,3.07,2.91,4.0,3.0,2.09,42.5,48.7,2.79,5.0
Northeast,Business,25-34,Summer,152.1,0.4,0.684,74.95,3.67,4.71,3.93,4.2,2.93,40.5,52.7,2.52,5.0
Midwest,Leisure,55-64,Fall,62.1,0.375,0.991,56.32,2.76,2.7,3.76,2.89,1.3,52.8,51.3,2.6,5.0
Southeast,Commuter,45-54,Summer,180.7,0.671,0.357,84.35,3.89,4.12,3.69,2.55,1.0,32.0,36.2,3.5,5.0
Northeast,Business,35-44,Fall,294.5,0.913,0.137,123.39,3.62,4.03,3.72,2.88,2.07,20.2,30.4,3.73,5.0
West,Business,45-54,Spring,181.5,0.439,0.338,102.39,5.0,3.44,2.95,3.78,3.39,11.1,20.0,4.04,5.0
Midwest,Business,45-54,Spring,349.7,1.0,0.0,121.27,4.89,3.51,2.56,2.42,3.63,0.0,6.4,4.87,5.0
Midwest,Leisure,65+,Summer,161.5,0.846,0.0,81.13,,4.35,5.0,3.04,2.07,13.8,16.6,4.42,5.0
Northeast,Leisure,25-34,Fall,131.2,0.59,0.75,56.68,3.63,4.38,3.7,3.94,2.94,29.4,37.1,3.53,5.0
Northeast,Leisure,65+,Winter,148.0,0.857,0.508,71.48,4.22,3.97,3.45,2.3,3.55,53.7,49.3,3.02,5.0
West,Leisure,18-24,Spring,311.0,0.45,0.621,112.51,4.07,3.65,3.07,2.39,4.28,42.6,52.4,2.61,5.0
Northeast,Business,55-64,Fall,485.9,0.904,0.0,156.06,3.9,4.82,4.51,2.11,4.34,0.0,6.5,4.87,5.0
Southeast,Commuter,65+,Winter,584.6,0.881,0.0,173.97,4.2,3.79,3.87,2.74,4.0,8.0,20.3,4.04,5.0
Southeast,Leisure,35-44,Spring,292.4,0.669,0.0,112.45,4.63,3.91,3.1,2.95,2.65,0.0,6.1,4.91,5.0
Midwest,Leisure,18-24,Summer,340.5,0.847,0.206,125.71,,3.9,3.54,3.23,3.13,0.0,4.4,4.77,5.0
Midwest,Business,55-64,Winter,73.1,0.594,0.486,45.38,3.37,5.0,3.9,2.56,3.18,35.0,37.7,3.3,5.0
Midwest,Leisure,55-64,Fall,88.2,0.892,0.186,64.79,4.13,3.54,3.5,3.13,2.98,0.0,0.3,4.83,5.0
Northeast,Commuter,35-44,Spring,117.8,0.297,0.489,70.41,2.55,4.25,4.16,3.95,1.82,31.0,37.4,3.16,5.0
Southeast,Leisure,35-44,Fall,424.5,0.598,0.032,131.53,2.95,2.88,5.0,3.6,,15.3,20.7,4.13,5.0
West,Leisure,55-64,Spring,421.1,0.229,0.688,150.51,2.09,3.14,3.27,,3.44,63.5,67.8,2.1,5.0
Southwest,Leisure,25-34,Spring,658.5,0.451,0.606,170.5,3.63,3.64,3.44,2.68,3.87,58.2,71.8,1.61,4.72
Southwest,Commuter,45-54,Fall,116.0,0.968,0.056,71.68,4.89,4.01,3.21,3.12,3.79,5.5,7.6,4.86,5.0
Southwest,Leisure,35-44,Fall,194.0,0.2,0.597,100.27,4.44,3.54,3.45,3.24,2.65,59.6,69.5,2.05,5.0
West,Business,25-34,Summer,61.8,0.703,0.247,65.23,3.86,3.89,2.34,2.94,1.79,26.3,27.5,3.82,5.0
Northeast,Leisure,55-64,Spring,78.7,0.631,0.289,51.96,3.09,3.5,4.46,3.3,3.8,31.0,32.6,3.68,5.0
Southeast,Leisure,35-44,Fall,171.5,0.524,0.284,72.06,3.82,4.63,2.72,1.75,3.72,24.4,23.0,3.89,5.0
Midwest,Commuter,65+,Summer,119.4,0.799,0.234,85.17,4.32,3.4,3.18,3.1,3.42,29.2,32.4,3.33,5.0
Southeast,Leisure,45-54,Fall,120.4,0.671,0.404,81.15,4.4,4.38,3.76,4.03,5.0,12.1,9.9,4.47,5.0
West,Leisure,35-44,Spring,140.7,0.733,0.554,69.69,4.81,4.37,4.68,4.86,2.64,17.5,19.6,4.3,5.0
Midwest,Business,35-44,Winter,451.9,0.628,0.299,165.31,4.31,3.35,3.09,4.48,2.84,46.7,52.1,2.85,5.0
West,Commuter,35-44,Winter,377.5,0.609,0.131,126.39,3.91,3.68,3.55,3.43,3.31,27.7,37.3,3.14,5.0
West,Leisure,55-64,Summer,106.0,0.209,0.0,41.81,3.83,3.7,3.77,3.57,2.59,23.5,25.2,3.69,5.0
Midwest,Leisure,45-54,Spring,371.5,0.348,0.994,124.23,2.79,4.78,3.13,3.4,2.86,60.3,72.3,1.61,5.0
West,Commuter,55-64,Fall,125.8,0.675,0.736,93.34,2.69,3.72,3.62,2.85,4.06,34.6,33.1,3.22,5.0
Midwest,Business,35-44,Fall,72.4,0.378,0.376,64.91,5.0,5.0,2.5,2.45,2.49,22.0,23.6,3.85,5.0
West,Commuter,25-34,Winter,137.5,0.548,0.588,92.88,3.99,4.33,3.3,3.46,2.59,26.4,29.7,3.74,5.0
Southeast,Business,18-24,Fall,243.2,0.713,0.304,80.84,4.65,4.16,4.58,3.27,3.66,9.2,13.4,3.95,5.0
Midwest,Business,55-64,Summer,114.1,1.0,0.515,62.57,2.34,4.63,4.37,4.12,2.01,30.9,37.5,3.3,5.0
Midwest,Leisure,35-44,Spring,289.4,0.83,0.0,109.96,5.0,2.98,3.44,1.53,3.09,4.6,10.0,4.76,5.0
Northeast,Leisure,35-44,Winter,143.8,0.851,0.859,84.31,4.83,4.73,3.05,3.22,3.05,35.5,34.1,3.6,5.0
Southeast,Business,35-44,Winter,253.6,0.416,0.348,97.03,2.72,3.01,3.48,4.2,3.65,31.7,38.4,3.33,5.0
West,Business,35-44,Spring,105.1,0.684,0.323,82.73,3.76,4.46,2.68,3.8,3.86,24.0,33.2,3.52,5.0
Southwest,Commuter,45-54,Winter,205.7,0.256,0.42,86.01,3.77,3.37,3.44,2.37,2.91,30.6,31.9,3.73,5.0
Northeast,Business,45-54,Winter,116.5,0.682,0.253,65.52,3.46,3.46,3.42,2.3,3.06,12.4,14.4,4.43,5.0
Southeast,Leisure,65+,Fall,174.6,0.663,0.607,85.23,4.14,5.0,3.39,3.27,3.1,58.2,62.5,2.15,5.0
Northeast,Business,25-34,Spring,557.5,0.376,0.472,170.93,4.42,3.73,3.51,3.83,2.8,43.7,58.5,2.51,5.0
Northeast,Business,45-54,Summer,156.1,0.704,0.259,89.65,4.18,3.03,4.09,3.77,4.3,7.7,13.7,4.18,5.0
West,Leisure,18-24,Spring,86.9,0.524,0.656,65.08,2.53,4.45,2.93,3.34,3.56,48.7,50.9,2.83,5.0
Midwest,Business,55-64,Summer,213.5,0.416,0.652,94.17,2.96,3.08,4.3,3.71,4.22,43.3,45.9,3.02,5.0
Southeast,Business,45-54,Spring,215.7,0.531,0.13,116.25,3.92,4.68,4.45,3.51,2.32,41.4,43.7,3.06,5.0
Midwest,Leisure,35-44,Winter,214.9,0.482,0.747,80.45,3.68,3.83,5.0,,4.22,45.0,51.2,2.71,5.0
Northeast,Business,55-64,Summer,279.7,0.303,0.735,114.22,3.03,2.99,3.8,3.9,3.17,76.0,78.7,1.71,5.0
Southeast,Business,35-44,Winter,151.4,0.595,0.748,82.34,3.81,4.39,4.71,2.91,3.73,34.8,32.3,3.71,5.0
Southwest,Commuter,25-34,Summer,295.7,0.703,0.072,114.82,2.87,4.26,4.39,2.67,1.42,14.0,19.0,4.35,5.0
Southwest,Leisure,35-44,Fall,200.6,0.396,0.708,87.8,4.0,2.52,3.75,3.77,4.54,37.2,39.1,3.31,5.0
West,Business,18-24,Summer,83.4,0.901,0.238,80.06,4.43,4.01,2.92,3.03,3.58,28.6,28.7,3.88,5.0
Southwest,Business,65+,Summer,319.8,0.987,0.179,123.66,4.62,4.27,4.42,,4.87,11.9,20.4,4.15,5.0
Midwest,Business,55-64,Fall,225.8,0.771,0.493,93.72,4.5,4.13,3.9,4.5,,18.9,23.8,3.91,5.0
West,Leisure,55-64,Winter,286.8,0.535,0.359,88.18,3.66,3.76,4.91,,1.26,38.9,43.7,3.15,5.0
West,Commuter,65+,Fall,90.4,0.402,1.0,59.6,3.16,4.25,4.14,3.33,4.45,49.8,46.8,2.85,5.0
Southwest,Commuter,55-64,Winter,330.6,0.473,0.806,111.29,2.77,4.18,4.38,3.06,3.26,66.1,71.1,1.98,5.0
West,Business,35-44,Winter,640.1,0.931,0.0,198.51,5.0,4.08,3.37,4.14,3.76,7.1,13.4,4.21,5.0
West,Business,25-34,Winter,85.7,0.308,0.901,68.94,3.11,3.61,3.76,2.11,3.55,47.2,45.8,2.9,5.0
West,Leisure,35-44,Summer,357.2,0.567,0.301,126.45,2.94,3.97,2.32,,3.02,35.9,39.8,3.11,5.0
Northeast,Business,65+,Winter,226.4,0.544,0.813,79.1,3.54,3.51,4.05,3.46,2.74,67.3,71.9,2.12,5.0
Southwest,Leisure,65+,Spring,201.9,0.727,0.19,84.45,2.95,3.35,4.57,3.81,3.78,10.9,15.2,4.22,5.0
Midwest,Business,55-64,Winter,332.8,0.74,0.195,128.6,4.62,3.3,4.7,2.01,2.4,12.6,18.2,4.17,5.0
Midwest,Leisure,25-34,Winter,312.3,0.822,0.202,122.66,4.54,3.95,3.5,,3.19,7.4,9.1,4.28,5.0
Southwest,Business,25-34,Summer,407.9,0.541,0.365,125.07,3.61,3.36,2.39,2.94,4.37,25.8,27.1,4.04,5.0
West,Leisure,65+,Winter,92.8,0.374,0.783,80.01,,3.69,3.24,2.65,1.98,67.5,74.7,1.52,4.88
West,Business,25-34,Spring,416.8,0.607,0.0,145.61,4.21,4.7,3.63,2.09,2.94,37.8,42.7,3.3,5.0
Southeast,Business,45-54,Winter,252.1,0.535,0.384,115.6,3.85,3.74,3.95,5.0,,33.1,37.0,3.18,5.0
Southwest,Leisure,35-44,Spring,63.2,0.288,0.46,69.75,2.13,3.83,2.17,3.07,2.32,23.9,23.2,3.81,5.0
Southwest,Leisure,25-34,Fall,157.0,0.811,0.075,67.72,,3.87,3.67,3.61,1.44,22.4,29.0,3.82,5.0
Southeast,Commuter,45-54,Summer,229.4,0.487,0.257,88.95,3.14,4.63,2.92,2.43,1.31,24.3,30.1,3.42,5.0
Northeast,Business,65+,Winter,154.8,0.515,0.887,79.24,,4.85,4.67,1.99,2.68,81.0,81.3,1.41,4.73
Northeast,Leisure,55-64,Spring,187.0,0.729,0.36,88.31,4.8,3.68,2.08,4.01,4.66,27.0,32.8,3.41,5.0
West,Leisure,35-44,Summer,141.3,0.543,0.363,68.75,4.68,4.31,4.37,2.2,2.42,31.5,28.9,4.02,5.0
Midwest,Leisure,35-44,Spring,828.2,0.762,0.647,231.66,3.61,5.0,3.62,4.38,2.89,61.5,77.6,1.78,4.81
West,Business,65+,Spring,298.5,0.359,0.463,121.34,2.72,3.08,2.17,4.64,3.12,50.2,44.1,3.21,5.0
Midwest,Business,45-54,Fall,212.9,0.962,0.871,106.34,3.53,4.67,4.96,2.78,4.19,51.1,56.6,2.8,5.0
West,Leisure,35-44,Fall,103.5,0.624,0.357,67.16,3.59,2.87,4.63,2.95,3.9,30.7,31.0,3.51,5.0
Midwest,Business,45-54,Winter,408.5,0.499,0.225,104.79,4.08,3.87,4.52,1.24,,57.4,64.7,2.21,5.0
West,Business,25-34,Summer,276.3,0.415,0.603,96.34,,3.72,3.69,1.81,3.62,48.7,59.0,2.2,5.0
Northeast,Business,18-24,Fall,110.8,0.683,0.408,74.59,4.08,2.92,3.23,3.84,4.09,15.3,14.6,4.48,5.0
Midwest,Leisure,55-64,Fall,111.4,0.653,0.0,74.47,4.51,4.58,3.74,,1.65,19.9,19.3,4.18,5.0
West,Leisure,45-54,Spring,189.8,0.353,0.806,64.6,3.43,3.87,3.99,2.54,2.73,33.4,31.2,3.41,5.0
West,Leisure,25-34,Summer,214.2,0.768,0.263,91.99,3.69,3.43,3.35,2.88,2.07,18.2,22.7,3.97,5.0
West,Leisure,25-34,Winter,294.4,0.675,0.307,107.1,2.77,4.13,3.1,2.07,2.48,58.8,64.4,2.12,4.25
Northeast,Leisure,65+,Spring,197.6,0.301,0.265,79.95,3.71,4.29,3.94,2.29,3.65,32.5,39.4,3.24,5.0
Southeast,Leisure,45-54,Winter,308.9,0.51,1.0,104.7,3.55,2.79,3.79,4.27,2.02,90.9,96.9,1.0,5.0
Northeast,Leisure,45-54,Summer,154.9,0.502,0.936,63.41,3.05,1.96,4.3,3.46,5.0,64.7,69.2,1.73,4.54
Northeast,Business,18-24,Summer,197.9,0.687,0.042,102.41,4.99,3.92,4.77,1.93,3.73,13.1,19.2,4.04,5.0
Southwest,Leisure,65+,Spring,417.1,0.589,0.0,128.41,3.8,3.43,4.28,3.79,2.59,27.1,36.9,2.89,5.0
Southwest,Business,65+,Spring,317.0,1.0,0.062,136.39,4.82,4.9,2.99,5.0,3.08,0.0,5.8,4.84,5.0
West,Leisure,45-54,Winter,205.1,1.0,0.069,90.8,,3.88,3.79,3.18,,8.7,14.9,4.45,5.0
West,Business,25-34,Fall,246.9,0.823,0.582,108.92,4.77,4.2,4.02,2.84,,37.6,45.1,3.1,5.0
Southwest,Leisure,45-54,Fall,198.4,0.731,0.033,95.17,4.64,3.85,4.29,3.85,2.8,0.0,8.0,4.64,5.0
West,Business,55-64,Winter,79.2,0.477,0.716,64.7,,2.91,4.24,4.02,4.27,50.5,61.2,2.14,5.0
Northeast,Business,55-64,Spring,25.8,0.509,0.657,61.53,,3.87,3.61,3.9,1.84,47.2,43.7,2.85,5.0
Southeast,Leisure,65+,Summer,497.9,0.608,0.597,146.04,3.25,3.11,3.34,,4.23,33.6,45.7,3.03,5.0
Southwest,Business,45-54,Spring,115.7,0.684,0.679,67.65,2.71,3.12,4.41,2.97,2.97,30.5,32.7,3.4,5.0
West,Leisure,35-44,Winter,162.4,0.602,1.0,70.53,3.12,3.24,3.94,1.86,3.34,68.2,72.3,1.5,4.92
Northeast,Business,35-44,Winter,748.4,0.675,1.0,210.9,3.31,3.23,3.9,2.29,3.2,91.1,109.1,1.0,4.33
Midwest,Leisure,55-64,Winter,100.8,0.692,0.682,81.05,4.55,3.82,3.21,3.6,3.84,33.9,36.8,3.29,5.0
Southwest,Leisure,25-34,Fall,191.5,0.499,0.453,76.28,4.02,3.61,5.0,,4.09,27.2,26.8,3.82,5.0
Northeast,Leisure,25-34,Summer,432.7,0.976,0.212,145.48,3.99,4.26,3.97,3.67,3.0,34.5,41.1,2.64,5.0
Midwest,Commuter,55-64,Spring,559.1,0.874,0.885,167.77,2.2,3.09,3.7,3.17,3.63,70.9,84.4,1.2,4.76
West,Leisure,35-44,Winter,274.0,0.76,0.0,92.84,4.48,3.83,3.9,3.45,4.32,15.5,17.9,4.16,5.0
Southwest,Business,55-64,Fall,410.7,0.903,1.0,137.21,4.11,3.76,3.68,3.38,,53.1,56.9,2.72,5.0
Southeast,Leisure,25-34,Spring,179.7,0.375,0.556,77.46,3.6,3.91,2.71,3.79,2.7,54.6,56.9,2.4,5.0
West,Leisure,35-44,Spring,25.7,0.632,0.359,45.1,4.34,4.07,3.9,,2.95,1.3,0.0,4.55,5.0
Southeast,Leisure,25-34,Summer,390.0,0.407,0.682,139.58,4.55,3.9,2.61,3.18,2.19,24.8,29.6,3.63,5.0
West,Commuter,45-54,Winter,202.2,0.551,0.255,89.28,3.93,3.28,3.74,3.13,4.75,10.6,22.4,3.99,5.0
Southeast,Business,55-64,Summer,167.0,0.739,0.0,88.93,4.22,3.98,2.61,,3.42,9.0,10.1,4.74,5.0
Midwest,Leisure,35-44,Spring,157.8,0.553,0.119,71.73,4.08,3.57,2.16,2.68,1.85,24.7,29.4,3.67,5.0
Southeast,Business,35-44,Summer,305.4,0.606,0.354,106.83,4.5,4.69,4.11,4.18,2.37,18.8,21.6,3.96,5.0
Southeast,Leisure,25-34,Summer,303.4,0.503,0.673,96.49,3.9,3.92,2.88,2.78,2.96,52.7,61.3,2.22,5.0
West,Leisure,55-64,Winter,205.8,0.751,0.403,97.77,4.24,4.02,4.03,3.23,4.36,35.7,38.8,3.7,5.0
Northeast,Business,65+,Summer,266.4,0.458,0.498,111.97,3.84,3.06,3.76,3.37,2.92,17.0,25.5,3.93,5.0
Northeast,Leisure,55-64,Winter,99.4,0.505,0.0,74.16,3.78,3.5,3.75,3.55,3.64,4.2,4.9,4.74,5.0
Southeast,Leisure,25-34,Summer,181.4,0.538,0.811,77.38,4.44,4.02,3.22,3.45,2.46,38.9,40.7,3.33,5.0
Southwest,Business,45-54,Spring,102.6,0.849,0.247,83.32,3.18,3.98,3.66,3.31,3.75,1.8,3.2,4.68,5.0
West,Leisure,25-34,Summer,100.2,0.626,0.565,67.47,3.6,3.86,3.23,4.61,,15.6,17.6,4.09,5.0
West,Commuter,18-24,Winter,251.6,0.601,0.853,108.26,4.71,2.85,4.34,3.32,3.83,41.5,47.5,2.78,5.0
Southeast,Business,25-34,Spring,212.6,1.0,0.0,79.92,4.37,3.61,3.46,3.3,1.0,0.0,1.5,4.65,5.0
Midwest,Commuter,25-34,Spring,155.1,1.0,0.505,73.27,4.07,3.94,3.63,4.89,3.06,35.4,34.9,3.59,5.0
Northeast,Business,25-34,Spring,175.9,0.871,0.316,107.71,5.0,4.76,4.28,2.79,2.22,1.4,0.0,4.87,5.0
Midwest,Commuter,55-64,Spring,264.1,0.767,0.283,113.42,4.04,2.85,3.29,4.81,3.76,28.6,31.6,3.6,5.0
West,Leisure,25-34,Winter,309.0,0.6,0.338,121.6,3.85,3.27,2.43,1.71,3.18,16.3,15.7,4.2,5.0
Southwest,Business,55-64,Spring,280.7,0.74,0.173,118.06,4.82,2.83,2.98,3.06,4.69,8.7,9.2,4.64,5.0
Midwest,Business,65+,Winter,61.0,0.583,0.484,56.08,3.61,4.09,4.41,1.95,,35.2,35.5,3.71,5.0
Southeast,Commuter,45-54,Summer,35.2,0.717,0.409,72.86,3.7,4.67,3.77,2.26,3.21,21.2,24.3,3.85,5.0
West,Leisure,35-44,Winter,123.1,0.702,0.762,52.8,3.13,4.17,3.92,3.67,3.03,21.7,22.8,3.9,5.0
Midwest,Business,55-64,Winter,35.6,0.591,0.331,66.37,3.67,4.24,3.88,3.53,3.77,21.0,29.7,3.46,5.0
Northeast,Business,18-24,Spring,465.2,0.563,0.834,128.1,3.92,3.26,4.92,2.75,2.24,63.3,73.8,1.63,5.0
Southeast,Leisure,35-44,Spring,172.2,1.0,0.76,95.9,4.09,4.32,2.35,4.73,2.3,29.8,34.0,3.16,5.0
Northeast,Commuter,35-44,Fall,83.0,0.92,0.191,55.64,3.37,3.6,3.69,4.36,2.68,18.1,15.3,4.55,5.0
Northeast,Leisure,55-64,Spring,171.0,1.0,0.03,78.71,4.53,4.14,3.82,3.46,3.73,0.0,5.7,4.64,5.0
Northeast,Leisure,55-64,Spring,50.5,0.882,0.0,41.18,,4.34,3.75,2.01,4.11,3.4,6.7,4.55,5.0
Midwest,Business,55-64,Winter,84.4,0.486,0.0,75.04,3.56,3.67,4.21,4.06,3.01,19.4,17.3,4.19,5.0
