Amtrak Product,Service Class,Total Fare Amount,Mileage,Departure Performance (Minutes Late),Arrival Performance (Minutes Late),Overall Trip Satisfaction,Boarding Station Overall,On-time Performance of the Train,Communication About Train Status,Cleanliness of the Train,Comfort of Train Ride,Food and Beverage on the Train,Wi-Fi on the Train,Friendliness of Amtrak Personnel at the Boarding Station,Friendliness of Amtrak Personnel on the Train,Age Range
Acela,Business Class,91.09,135,39,433,,,,,,,,,,,
Acela,Business Class,78,135,14,,0,5,0,1,1,0,N/A,N/A,N/A,9,18 to 24
Acela,Business Class,115,109,0,0,10,6,10,10,10,10,N/A,N/A,10,10,75 or older
Acela,Business Class,186,225,16,15,9,8,4,6,10,10,8,N/A,8,10,35 to 44
Acela,Business Class,263,322,5,3,,,,,,,,,,,
Acela,Business Class,259,232,12,27,,,,,,,,,,,
Acela,Business Class,109,225,113,259,0,0,0,0,0,0,N/A,5,8,8,45 to 54
Acela,First Class,305,196,0,4,,,,,,,,,,,
Acela,Business Class,253,195,2,-4,9,9,6,6,9,9,N/A,N/A,8,8,55 to 64
Acela,Business Class,198,91,15,32,,,,,,,,,,,
Acela,Business Class,180,322,3,16,,,,,,,,,,,
Acela,Business Class,222,225,39,126,,,,,,,,,,,
Acela,Business Class,167.4,225,0,29,9,10,9,7,9,9,9,7,10,10,65 to 74
Acela,Business Class,136,195,0,29,10,10,10,10,10,10,N/A,10,10,8,35 to 44
Acela,Business Class,119,116,16,20,3,8,1,8,8,3,N/A,8,8,8,55 to 64
Acela,Business Class,119,106,17,33,,,,,,,,,,,
Acela,Business Class,109,225,0,9,10,10,9,10,10,10,10,N/A,10,10,18 to 24
Acela,Business Class,315,225,0,19,,,,,,,,,,,
Acela,Business Class,153,232,29,53,9,9,2,3,10,10,N/A,N/A,10,10,55 to 64
Acela,Business Class,81,232,0,9,,,,,,,,,,,
Acela,Business Class,186,226,24,433,2,7,0,4,8,8,5,7,8,8,45 to 54
Acela,Business Class,174,196,26,35,9,10,5,4,4,9,8,4,10,10,25 to 34
Acela,Business Class,117,91,19,16,10,10,10,10,9,10,N/A,10,9,10,75 or older
Acela,First Class,335,231,0,44,,,,,,,,,,,
Acela,Business Class,127,104,10,10,10,10,10,10,10,7,N/A,10,10,10,55 to 64
Acela,Business Class,136,195,2,-4,,,,,,,,,,,
Acela,Business Class,209.7,425,2,3,10,10,10,10,10,10,N/A,N/A,9,8,75 or older
Acela,Business Class,186,225,14,,,,,,,,,,,,
Acela,Business Class,145,225,22,236,,,,,,,,,,,
Acela,First Class,278.7,232,2,24,10,10,10,10,10,10,10,10,10,10,65 to 74
Acela,Business Class,136,185,1,29,9,9,9,9,9,10,9,9,10,10,25 to 34
Acela,Business Class,208,185,1,29,,,,,,,,,,,
Acela,Business Class,145,225,0,29,10,10,10,10,10,10,10,10,10,10,55 to 64
Acela,Business Class,107.1,116,4,-4,,,,,,,,,,,
Acela,Business Class,85,215,113,262,,,,,,,,,,,
Acela,Business Class,186,225,0,-4,10,10,10,10,10,10,10,10,10,10,25 to 34
Acela,Business Class,153,232,0,39,10,10,10,10,10,10,10,10,10,10,65 to 74
Acela,First Class,225,91,22,27,,,,,,,,,,,
Acela,Business Class,101.7,156,0,12,9,7,9,8,8,8,N/A,10,N/A,10,65 to 74
Acela,First Class,332,220,16,35,,,,,,,,,,,
Acela,Business Class,119,116,16,20,7,3,6,4,10,10,N/A,10,8,10,25 to 34
Acela,Business Class,167.4,215,0,26,,,,,,,,,,,
Acela,Business Class,147,188,29,48,7,0,2,9,10,10,10,7,3,10,45 to 54
Acela,Business Class,169,279,4,38,10,10,7,10,10,10,10,4,10,10,25 to 34
Acela,Business Class,248.4,348,4,44,9,7,7,6,8,8,N/A,7,8,8,65 to 74
Acela,Business Class,153,231,16,35,7,10,10,10,10,10,N/A,10,10,7,65 to 74
Acela,Business Class,132.3,188,0,35,,,,,,,,,,,
Acela,First Class,278,91,5,-4,,,,,,,,,,,
Acela,First Class,153,232,0,39,,,,,,,,,,,
Acela,Business Class,194.4,322,3,38,9,7,9,N/A,10,6,N/A,10,6,8,75 or older
Acela,Business Class,424,456,0,3,,,,,,,,,,,
Acela,Business Class,167.4,261,0,9,10,8,10,10,8,10,N/A,N/A,10,10,65 to 74
Acela,Business Class,137.7,220,0,1,9,9,9,9,8,10,7,10,9,9,65 to 74
Acela,First Class,465,417,2,29,,,,,,,,,,,
Acela,Business Class,147,188,4,7,9,6,10,9,6,8,N/A,4,7,7,25 to 34
Acela,Business Class,259,116,26,28,,,,,,,,,,,
Acela,Business Class,164.7,232,0,61,,,,,,,,,,,
Acela,Business Class,169,279,40,47,,,,,,,,,,,
Acela,Business Class,137.7,220,0,16,10,10,7,9,10,10,N/A,10,10,10,65 to 74
Acela,Business Class,138,109,0,1,10,10,10,10,10,10,N/A,10,10,10,35 to 44
Acela,Business Class,259,242,0,21,6,8,2,6,7,8,N/A,6,9,9,65 to 74
Acela,Business Class,382,457,0,236,,,,,,,,,,,
Acela,Business Class,145,215,14,,2,6,0,3,7,1,5,10,8,10,35 to 44
Acela,Business Class,53,109,113,258,,,,,,,,,,,
Acela,Business Class,183,242,0,12,,,,,,,,,,,
Acela,Business Class,145,225,14,,1,2,0,1,9,5,5,5,N/A,9,65 to 74
Acela,Business Class,120,242,0,21,8,10,7,10,10,9,N/A,0,10,10,25 to 34
Acela,Business Class,153,0,10,42,,,,,,,,,,,
Acela,Business Class,186,225,0,9,9,9,7,8,10,10,N/A,5,10,10,18 to 24
Acela,Business Class,306,323,0,38,10,9,10,9,10,10,10,N/A,10,10,55 to 64
Acela,Business Class,186,225,7,146,,,,,,,,,,,
Acela,Business Class,331,457,0,8,9,8,10,10,8,8,6,9,10,6,35 to 44
Acela,Business Class,186,225,16,15,10,10,10,10,10,10,10,10,10,10,35 to 44
Acela,Business Class,176,196,0,4,5,5,9,6,5,7,N/A,10,2,6,65 to 74
Acela,First Class,376,445,0,41,8,8,8,8,8,7,4,6,9,9,65 to 74
Acela,Business Class,331,457,0,27,,,,,,,,,,,
Acela,First Class,186,225,15,27,8,6,7,8,8,8,7,N/A,8,8,35 to 44
Acela,Business Class,156.6,185,15,27,9,9,10,10,8,8,N/A,N/A,9,N/A,65 to 74
Acela,Business Class,0,232,0,39,,,,,,,,,,,
Acela,Business Class,145,225,0,0,,,,,,,,,,,
Acela,Business Class,145,225,0,12,,,,,,,,,,,
Acela,Business Class,271,225,9,8,10,10,10,10,8,10,N/A,7,10,10,65 to 74
Acela,Business Class,80,201,152,,,,,,,,,,,,
Acela,Business Class,174,185,3,-4,,,,,,,,,,,
Acela,Business Class,195,456,1,126,,,,,,,,,,,
Acela,Business Class,109,225,152,201,,,,,,,,,,,
Acela,Business Class,382,458,0,433,,,,,,,,,,,
Acela,Business Class,81,109,2,0,,,,,,,,,,,
Acela,Business Class,209.7,445,6,33,,,,,,,,,,,
Acela,Business Class,132.3,188,40,41,,,,,,,,,,,
Acela,Business Class,175.5,427,6,35,10,10,10,10,10,10,N/A,10,N/A,10,75 or older
Acela,Business Class,174,0,0,7,,,,,,,,,,,
Acela,Business Class,153,232,2,24,,,,,,,,,,,
Acela,First Class,164.7,220,4,19,7,8,7,8,9,10,7,8,8,8,65 to 74
Acela,Business Class,58,232,8,44,,,,,,,,,,,
Acela,Business Class,222,225,0,16,,,,,,,,,,,
Acela,Business Class,424,456,0,3,,,,,,,,,,,
Acela,Business Class,53,109,113,258,,,,,,,,,,,
Acela,First Class,587,348,4,44,10,10,5,7,10,10,10,6,N/A,6,65 to 74
Acela,Business Class,183,231,2,15,,,,,,,,,,,
Acela,Business Class,118.8,134,0,5,8,9,8,10,10,6,N/A,N/A,10,10,65 to 74
Acela,Business Class,145,225,0,12,,,,,,,,,,,
Acela,Business Class,199.8,231,0,59,3,9,0,5,6,,N/A,N/A,N/A,9,65 to 74
Acela,Business Class,288,184,34,35,9,8,4,9,8,9,N/A,9,10,10,65 to 74
Acela,Business Class,222,225,9,8,,,,,,,,,,,
Acela,Business Class,199.8,220,6,24,10,8,9,10,9,10,N/A,10,10,10,75 or older
Acela,First Class,227,134,0,5,,,,,,,,,,,
Acela,First Class,248.3,220,0,1,,,,,,,,,,,
Acela,Business Class,199.8,261,0,33,5,9,4,1,10,10,N/A,9,10,10,75 or older
Acela,Business Class,164.7,220,6,24,8,8,4,5,7,8,N/A,3,8,8,65 to 74
Acela,Business Class,174,195,2,-4,,,,,,,,,,,
Acela,First Class,324,255,0,16,,,,,,,,,,,
Acela,Business Class,327.6,300,23,33,6,10,10,10,10,4,10,10,10,10,65 to 74
Acela,Business Class,186,225,0,-4,,,,,,,,,,,
Acela,Business Class,120,232,0,16,10,10,9,9,10,10,10,,9,8,35 to 44
Acela,Business Class,85,225,14,,0,0,0,0,0,0,0,0,0,0,Prefer not to answer
Acela,Business Class,183,232,0,22,7,7,7,7,8,7,7,7,7,7,35 to 44
Acela,Business Class,183,220,2,22,,,,,,,,,,,
Acela,Business Class,422,413,0,45,8,7,6,7,8,8,N/A,N/A,8,8,55 to 64
Acela,Business Class,257.4,279,12,28,10,10,10,10,10,10,N/A,N/A,10,10,75 or older
Acela,Business Class,145,225,0,12,8,5,10,7,8,6,N/A,N/A,6,8,55 to 64
Acela,Business Class,132,134,1,19,,,,,,,,,,,
Acela,Business Class,60,134,113,264,4,4,3,1,10,10,1,N/A,10,10,35 to 44
Acela,Business Class,259,220,2,41,8,10,9,10,10,10,N/A,9,8,9,65 to 74
Acela,Business Class,299,232,5,5,,,,,,,,,,,
Acela,Business Class,105.3,91,5,-4,10,10,10,10,10,10,N/A,0,10,10,75 or older
Acela,Business Class,208,195,9,10,9,10,7,8,9,10,N/A,N/A,10,10,55 to 64
Acela,Business Class,186,225,39,126,,,,,,,,,,,
Acela,Business Class,71,225,0,5,,,,,,,,,,,
Acela,Business Class,209.7,445,2,27,,,,,,,,,,,
Acela,First Class,439.8,231,0,41,9,10,2,1,8,9,4,N/A,N/A,10,75 or older
Acela,Business Class,175.5,428,2,35,,,,,,,,,,,
Acela,First Class,153,232,0,61,,,,,,,,,,,
Acela,First Class,411,134,0,2,,,,,,,,,,,
Acela,Business Class,382,415,3,10,9,7,10,10,9,9,10,8,9,9,Prefer not to answer
Acela,Business Class,271,225,22,236,,,,,,,,,,,
Acela,Business Class,145,215,0,3,,,,,,,,,,,
Acela,Business Class,222,225,0,19,,,,,,,,,,,
Acela,First Class,394,225,9,8,,,,,,,,,,,
Acela,Business Class,155,300,0,41,,,,,,,,,,,
Acela,Business Class,85,225,152,201,0,0,0,0,1,1,N/A,3,0,0,35 to 44
Acela,Business Class,85,215,1,0,,,,,,,,,,,
Acela,Business Class,186,261,0,34,8,10,5,10,10,10,N/A,4,10,10,75 or older
Acela,Business Class,199.8,231,16,35,9,8,5,9,10,10,9,10,10,10,65 to 74
Acela,First Class,305.7,232,8,44,9,9,5,5,8,6,8,8,9,9,75 or older
Acela,Business Class,233,116,16,20,,,,,,,,,,,
Acela,Business Class,424,445,2,27,,,,,,,,,,,
Acela,Business Class,117,91,39,46,,,,,,,,,,,
Acela,First Class,310,198,12,33,8,7,7,7,7,9,9,7,8,10,65 to 74
Acela,Business Class,382,456,3,146,,,,,,,,,,,
Acela,Business Class,199.8,225,0,12,,,,,,,,,,,
Acela,Business Class,153,232,0,61,8,9,4,5,9,9,,,9,9,65 to 74
Acela,Business Class,167.4,225,0,12,10,8,10,10,9,10,N/A,10,7,9,65 to 74
Acela,Business Class,194.4,322,5,3,10,3,10,8,3,8,8,8,3,8,75 or older
Acela,Business Class,164.7,232,0,41,7,9,5,8,7,6,N/A,4,10,10,75 or older
Acela,First Class,410.1,241,7,3,,,,,,,,,,,
Acela,Business Class,186,225,14,,,,,,,,,,,,
Acela,Business Class,156.6,0,0,7,10,10,10,10,10,10,N/A,5,10,10,65 to 74
Acela,Business Class,186,226,43,130,3,8,1,10,9,10,N/A,9,10,10,65 to 74
Acela,Business Class,98.1,225,14,,,,,,,,,,,,
Acela,Business Class,164.7,231,0,3,,,,,,,,,,,
Acela,First Class,358,225,26,33,9,8,6,6,5,10,7,10,5,9,75 or older
Acela,Business Class,114.3,166,40,47,7,10,1,3,10,10,N/A,N/A,N/A,10,65 to 74
Acela,Business Class,145,215,0,3,,,,,,,,,,,
Acela,Business Class,183,232,0,39,,,,,,,,,,,
Acela,Business Class,94,67,3,2,,,,,,,,,,,
Acela,Business Class,152,383,6,244,,,,,,,,,,,
Acela,Business Class,424,457,2,33,,,,,,,,,,,
Acela,Business Class,90,232,0,19,,,,,,,,,,,
Acela,First Class,374.1,230,0,3,,,,,,,,,,,
Acela,Business Class,158.1,215,23,236,5,9,2,2,7,7,7,8,8,8,Under 18
Acela,Business Class,195,456,0,4,3,3,7,3,5,2,2,0,5,5,25 to 34
Acela,Business Class,90,220,4,19,10,9,7,9,10,10,9,10,N/A,10,55 to 64
Acela,Business Class,183,242,0,43,8,8,6,9,2,6,N/A,4,8,9,35 to 44
Acela,Business Class,153,220,0,58,,,,,,,,,,,
Acela,First Class,294,232,0,41,8,7,8,8,6,7,7,9,9,10,45 to 54
Acela,Business Class,186,215,0,4,,,,,,,,,,,
Acela,Business Class,186,225,0,5,10,10,10,10,7,10,10,10,10,10,45 to 54
Acela,Business Class,74,457,0,34,10,8,10,5,10,10,8,5,7,10,25 to 34
Acela,Business Class,271,226,24,433,0,0,0,6,5,5,5,5,9,7,35 to 44
Acela,Business Class,85,225,152,201,4,4,0,1,8,8,N/A,5,N/A,8,25 to 34
Acela,Business Class,74,416,6,35,9,10,9,9,9,7,5,6,,6,55 to 64
Acela,Business Class,382,417,0,,1,4,0,0,4,2,N/A,4,2,2,35 to 44
Acela,Business Class,137.7,220,0,58,,,,,,,,,,,
Acela,Business Class,332,232,0,61,,,,,,,,,,,
Acela,Business Class,145,225,14,,,,,,,,,,,,
Acela,Business Class,162,323,0,38,8,9,7,7,8,9,9,2,8,9,65 to 74
Acela,Business Class,271,225,39,126,,,,,,,,,,,
Acela,Business Class,221.4,279,9,46,9,10,5,7,10,10,10,5,N/A,N/A,75 or older
Acela,Business Class,222,225,7,146,3,7,0,6,7,7,N/A,N/A,6,8,18 to 24
Acela,Business Class,216,323,2,28,,,,,,,,,,,
Acela,Business Class,120,232,0,16,8,8,8,8,8,8,8,8,8,8,18 to 24
Acela,Business Class,119,116,24,40,10,10,N/A,10,10,10,N/A,5,10,10,35 to 44
Acela,Business Class,332,231,4,6,,,,,,,,,,,
Acela,Business Class,208,175,6,-3,10,10,10,10,10,5,N/A,N/A,10,10,55 to 64
Acela,Business Class,183,232,0,6,10,10,10,10,10,10,10,10,10,10,25 to 34
Acela,Business Class,222,261,25,53,,,,,,,,,,,
Acela,Business Class,175.5,445,2,1,10,8,10,10,10,10,10,10,10,10,75 or older
Acela,Business Class,167.4,225,25,44,10,10,4,8,10,10,N/A,N/A,10,10,65 to 74
Acela,Business Class,271,301,0,2,,,,,,,,,,,
Acela,Business Class,153,232,0,-5,,,,,,,,,,,
Acela,Business Class,153,220,2,-5,,,,,,,,,,,
Acela,Business Class,152.1,279,4,23,,,,,,,,,,,
Acela,Business Class,132,134,2,1,6,8,0,3,8,7,N/A,N/A,8,8,25 to 34
Acela,Business Class,127,232,2,0,8,7,10,8,8,8,N/A,6,10,4,55 to 64
Acela,Business Class,222,232,2,0,,,,,,,,,,,
Acela,Business Class,227,348,0,4,9,10,10,10,10,10,,10,10,10,65 to 74
Acela,Business Class,115,109,9,2,9,8,8,9,8,9,N/A,9,5,4,55 to 64
Acela,Business Class,202.5,135,4,2,10,10,10,10,10,10,N/A,10,10,10,65 to 74
Acela,Business Class,153,232,0,4,,,,,,,,,,,
Acela,Business Class,269.1,230,0,34,2,5,2,0,2,2,0,3,6,10,75 or older
Acela,Business Class,255.6,457,0,23,,,,,,,,,,,
Acela,Business Class,174,116,4,4,9,8,8,8,8,8,N/A,5,6,6,45 to 54
Acela,Business Class,195,405,2,20,8,8,7,7,8,7,N/A,7,N/A,8,45 to 54
Acela,First Class,270,91,6,13,10,10,9,9,10,10,10,N/A,10,10,55 to 64
Acela,Business Class,186,225,100,102,,,,,,,,,,,
Acela,Business Class,186,225,100,102,5,2,0,0,6,7,N/A,N/A,7,5,75 or older
Acela,Business Class,147,188,3,-5,9,10,8,3,10,10,10,10,10,10,35 to 44
Acela,Business Class,180,323,0,1,10,10,10,10,10,10,10,10,10,10,25 to 34
Acela,Business Class,233,457,100,128,,,,,,,,,,,
Acela,Business Class,86,188,0,-2,9,8,10,10,10,10,N/A,2,N/A,10,45 to 54
Acela,Business Class,225,134,100,105,,,,,,,,,,,
Acela,Business Class,253,195,4,4,10,10,10,10,10,10,N/A,N/A,10,10,55 to 64
Acela,Business Class,142.2,134,0,-1,10,10,10,10,10,10,N/A,10,10,10,65 to 74
Acela,Business Class,186,215,0,6,,,,,,,,,,,
Acela,Business Class,153,231,0,34,6,8,3,3,5,8,N/A,0,N/A,N/A,45 to 54
Acela,Business Class,137.7,232,101,128,10,10,5,5,10,10,10,5,10,10,75 or older
Acela,First Class,249,220,2,-5,9,7,10,8,8,8,7,N/A,5,7,65 to 74
Acela,Business Class,229,91,3,11,,,,,,,,,,,
Acela,Business Class,183,220,0,-2,9,9,9,9,7,7,N/A,8,N/A,9,45 to 54
Acela,Business Class,222,231,0,34,,,,,,,,,,,
Acela,Business Class,186,225,0,-4,,,,,,,,,,,
Acela,First Class,414,221,104,108,3,10,0,0,5,8,8,4,10,8,65 to 74
Acela,Business Class,132.3,195,9,34,8,8,5,5,9,9,N/A,8,9,9,65 to 74
Acela,Business Class,156.6,185,3,4,8,9,9,10,10,9,N/A,N/A,10,N/A,65 to 74
Acela,Business Class,259,220,2,-5,,,,,,,,,,,
Acela,First Class,455.5,301,0,2,,,,,,,,,,,
Acela,First Class,294,232,0,4,,,,,,,,,,,
Acela,Business Class,183,241,9,34,9,10,8,8,9,10,N/A,10,N/A,10,55 to 64
Acela,First Class,294,232,2,0,,,,,,,,,,,
Acela,Business Class,147,188,0,2,3,5,2,2,0,2,3,N/A,4,4,55 to 64
Acela,Business Class,297.9,457,0,2,9,9,9,9,9,8,N/A,8,9,9,65 to 74
Acela,First Class,185,225,0,15,,,,,,,,,,,
Acela,Business Class,208,196,0,0,,,,,,,,,,,
Acela,Business Class,186,225,4,3,,,,,,,,,,,
Acela,Business Class,183,232,0,6,,,,,,,,,,,
Acela,Business Class,145,225,0,11,,,,,,,,,,,
Acela,Business Class,33,58,0,-1,,,,,,,,,,,
Acela,First Class,369,195,4,4,,,,,,,,,,,
Acela,Business Class,382,456,0,34,10,10,10,10,10,10,10,5,10,10,45 to 54
Acela,Business Class,183,220,7,42,,,,,,,,,,,
Acela,Business Class,120,231,0,0,9,5,7,6,7,9,N/A,8,8,8,25 to 34
Acela,Business Class,86,188,0,-2,,,,,,,,,,,
Acela,Business Class,186,261,100,108,3,3,0,2,8,9,9,10,6,9,45 to 54
Acela,Business Class,299,231,101,123,,,,,,,,,,,
Acela,Business Class,145,225,0,-4,10,10,10,10,10,10,N/A,10,10,10,55 to 64
Acela,Business Class,195,446,5,2,,,,,,,,,,,
Acela,Business Class,222,225,42,32,,,,,,,,,,,
Acela,Business Class,147,195,2,2,,,,,,,,,,,
Acela,First Class,487,225,100,102,8,8,6,7,8,8,7,N/A,8,8,45 to 54
Acela,Business Class,153,220,4,6,10,9,10,10,10,10,N/A,7,10,10,35 to 44
Acela,Business Class,132,134,25,47,,,,,,,,,,,
Acela,First Class,162,457,0,23,,,,,,,,,,,
Acela,First Class,277,157,2,-3,8,8,9,10,10,10,6,8,N/A,9,35 to 44
Acela,Business Class,216,322,2,23,10,10,10,10,8,8,N/A,N/A,N/A,10,65 to 74
Acela,First Class,356.5,445,2,1,10,10,10,9,9,10,9,6,9,10,75 or older
Acela,First Class,183,232,0,-5,9,10,8,N/A,9,9,8,9,10,10,65 to 74
Acela,Business Class,145,225,0,0,10,8,10,8,10,10,10,10,N/A,10,65 to 74
Acela,Business Class,152,220,0,-2,8,8,8,8,7,7,4,4,8,8,Prefer not to answer
Acela,First Class,284,195,55,54,,,,,,,,,,,
Acela,Business Class,271,225,4,3,10,10,10,10,10,10,N/A,N/A,10,10,65 to 74
Acela,Business Class,117,91,6,13,9,10,10,5,8,9,N/A,N/A,5,N/A,55 to 64
Acela,Business Class,208,222,2,0,8,10,1,5,10,10,N/A,10,8,10,75 or older
Acela,First Class,319,185,6,4,9,9,9,9,9,9,8,9,10,10,55 to 64
Acela,First Class,536,215,14,2,,,,,,,,,,,
Acela,First Class,250,183,2,1,,,,,,,,,,,
Acela,Business Class,153,220,5,0,,,,,,,,,,,
Acela,Business Class,102,185,1,-4,8,9,10,10,9,8,N/A,N/A,N/A,10,45 to 54
Acela,Business Class,229,91,0,1,,,,,,,,,,,
Acela,Business Class,174,116,3,9,10,10,10,10,10,10,N/A,7,10,7,55 to 64
Acela,Business Class,271,225,4,3,3,8,8,8,8,4,N/A,3,8,10,45 to 54
Acela,Business Class,271,226,0,2,,,,,,,,,,,
Acela,Business Class,60,134,0,1,9,10,10,10,10,10,N/A,N/A,10,10,18 to 24
Acela,Business Class,222,225,5,6,1,9,10,9,0,0,N/A,N/A,10,10,35 to 44
Acela,Business Class,132,134,0,2,10,10,10,10,10,10,N/A,N/A,10,9,65 to 74
Acela,Business Class,145,225,0,0,9,9,9,9,6,9,N/A,6,7,10,45 to 54
Acela,Business Class,60.3,187,0,3,10,10,9,10,10,10,N/A,10,10,10,65 to 74
Acela,First Class,517.9,311,105,118,10,10,10,10,10,10,9,N/A,10,10,75 or older
Acela,First Class,400,242,0,3,,,,,,,,,,,
Acela,Business Class,117,91,48,44,,,,,,,,,,,
Acela,Business Class,104,134,0,6,0,9,1,0,9,9,7,5,9,9,35 to 44
Acela,First Class,281,134,0,4,10,10,10,10,10,10,10,N/A,10,10,35 to 44
Acela,Business Class,198,91,14,23,,,,,,,,,,,
Acela,Business Class,144,144,1,-6,,,,,,,,,,,
Acela,Business Class,174,127,12,4,9,7,9,7,9,9,N/A,2,10,8,65 to 74
Acela,Business Class,23.4,30,5,3,10,10,8,10,10,10,N/A,8,10,10,65 to 74
Acela,Business Class,364,226,0,2,,,,,,,,,,,
Acela,Business Class,332,232,20,26,,,,,,,,,,,
Acela,Business Class,404,0,25,50,,,,,,,,,,,
Acela,Business Class,183,231,3,-5,10,10,10,10,4,8,N/A,10,10,10,65 to 74
Acela,Business Class,183,220,2,-5,10,8,8,10,7,10,N/A,8,N/A,10,55 to 64
Acela,Business Class,258.3,188,0,23,10,7,8,8,10,10,N/A,9,N/A,N/A,65 to 74
Acela,Business Class,186,225,3,2,,,,,,,,,,,
Acela,Business Class,130.05,232,2,0,10,10,10,10,10,10,10,5,10,10,18 to 24
Acela,Business Class,150,322,6,34,,,,,,,,,,,
Acela,Business Class,127.8,116,0,1,10,10,10,10,10,10,,10,10,10,65 to 74
Acela,Business Class,124.2,0,44,50,8,7,3,5,9,9,N/A,8,7,10,75 or older
Acela,Business Class,85,225,0,1,10,10,10,10,10,10,N/A,N/A,10,10,45 to 54
Acela,Business Class,120,231,0,-2,7,9,2,8,8,8,N/A,N/A,10,10,25 to 34
Acela,Business Class,119,116,0,4,4,8,8,8,3,2,4,1,3,3,35 to 44
Acela,Business Class,209.7,456,100,123,6,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,75 or older
Acela,Business Class,28,40,0,-1,8,6,8,5,8,8,7,7,8,8,55 to 64
Acela,Business Class,186,225,100,102,8,3,0,0,8,6,9,9,5,9,55 to 64
Acela,Business Class,167.4,215,18,23,10,10,10,7,10,10,N/A,6,10,10,65 to 74
Acela,Business Class,183,232,0,-2,10,10,10,10,10,10,10,N/A,10,10,45 to 54
Acela,Business Class,71,226,6,5,8,8,8,8,8,8,6,2,9,9,35 to 44
Acela,Business Class,153,220,1,4,,,,,,,,,,,
Acela,Business Class,153,232,0,6,,,,,,,,,,,
Acela,Business Class,222,225,11,17,10,10,9,10,10,10,N/A,N/A,10,10,45 to 54
Acela,Business Class,183,241,1,3,,,,,,,,,,,
Acela,Business Class,126.9,151,7,2,10,8,9,9,9,10,,,9,9,75 or older
Acela,Business Class,199.8,225,100,102,10,10,0,10,10,10,10,10,10,10,75 or older
Acela,Business Class,183,232,0,-5,10,10,10,10,10,10,10,N/A,10,10,35 to 44
Acela,Business Class,153,232,0,-5,,,,,,,,,,,
Acela,Business Class,119,116,4,0,10,9,10,10,10,10,9,10,9,9,18 to 24
Acela,Business Class,153,231,0,3,4,7,7,5,7,4,4,6,8,9,25 to 34
Acela,Business Class,208,175,18,20,,,,,,,,,,,
Acela,Business Class,71,225,100,102,7,4,3,0,8,10,5,7,2,7,75 or older
Acela,Business Class,199.8,225,25,44,,,,,,,,,,,
Acela,Business Class,130.5,215,11,18,10,10,10,10,10,10,6,10,10,10,75 or older
Acela,Business Class,153,231,0,0,,,,,,,,,,,
Acela,Business Class,216,166,0,2,10,10,10,10,10,10,10,3,N/A,10,55 to 64
Acela,Business Class,174,202,18,23,10,10,10,N/A,10,10,N/A,10,10,10,65 to 74
Acela,Business Class,174,195,1,15,10,5,10,10,10,10,10,10,10,10,45 to 54
Acela,First Class,294,241,9,34,9,10,9,10,10,10,10,10,10,10,45 to 54
Acela,Business Class,145,225,11,17,10,10,10,10,10,10,10,10,10,10,45 to 54
Acela,First Class,294,231,3,-5,,,,,,,,,,,
Acela,First Class,512,426,0,4,,,,,,,,,,,
Acela,Business Class,208.8,413,0,12,10,10,10,10,9,10,7,9,10,10,65 to 74
Acela,Business Class,186,225,0,1,,,,,,,,,,,
Acela,Business Class,208,195,1,15,3,10,1,1,10,1,N/A,N/A,10,10,45 to 54
Acela,Business Class,157.5,188,7,0,,,,,,,,,,,
Acela,Business Class,74,456,1,2,10,7,10,10,10,10,10,9,N/A,10,25 to 34
Acela,Business Class,262,311,1,0,,,,,,,,,,,
Acela,Business Class,48,94,0,-3,,,,,,,,,,,
Acela,Business Class,153,232,0,4,8,5,7,2,2,7,N/A,N/A,N/A,9,25 to 34
Acela,Business Class,137.7,232,0,4,8,8,9,9,8,8,8,7,8,8,35 to 44
Acela,Business Class,167.4,225,25,44,,,,,,,,,,,
Acela,Business Class,183,232,0,-2,9,8,10,9,9,10,5,9,8,10,65 to 74
Acela,Business Class,68,110,0,3,,,,,,,,,,,
Acela,Business Class,222,225,14,23,7,5,8,10,10,9,,,,,65 to 74
Acela,Business Class,271,261,1,2,10,10,10,10,10,10,N/A,N/A,10,10,75 or older
Acela,Business Class,315,225,100,102,,,,,,,,,,,
Acela,Business Class,164.7,242,2,3,9,9,9,7,7,9,N/A,7,9,9,75 or older
Acela,Business Class,228.6,202,18,23,10,10,10,10,10,10,10,10,10,10,65 to 74
Acela,Business Class,164.7,231,0,0,,,,,,,,,,,
Acela,First Class,324,231,2,14,7,8,7,7,7,7,7,9,9,9,55 to 64
Acela,Business Class,154,94,11,4,,,,,,,,,,,
Acela,Business Class,109,225,0,-4,8,7,10,10,10,10,N/A,N/A,7,9,65 to 74
Acela,Business Class,156.6,196,0,0,,,,,,,,,,,
Acela,Business Class,263,323,0,1,,,,,,,,,,,
Acela,First Class,358,225,0,-1,,,,,,,,,,,
Acela,Business Class,194,383,4,4,10,10,10,N/A,9,9,9,9,9,9,55 to 64
Acela,Business Class,109,215,0,0,,,,,,,,,,,
Acela,Business Class,114.3,220,3,-1,,,,,,,,,,,
Acela,First Class,435,225,0,5,,,,,,,,,,,
Acela,Business Class,194,127,2,-4,,,,,,,,,,,
Acela,Business Class,162,457,0,2,10,8,10,5,10,10,10,10,10,10,55 to 64
Acela,Business Class,155,225,0,-1,,,,,,,,,,,
